"AttributeName","Consistency","ValueIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Actors","0.0","Actors-{actors_104|academy_awards_3059}","{[[Actor: William Holden]]|[[Actor: William Holden], [Actor: Robert Strauss]]}","[[Actor: Robert Strauss], [Actor: William Holden]]","true","[[Actor: William Holden], [Actor: Robert Strauss]]"
"Actors","0.6666666666666666","Actors-{academy_awards_845|golden_globes_758|actors_69}","{[[Actor: Sean Penn], [Actor: Susan Sarandon]]|[[Actor: Susan Sarandon], [Actor: Sean Penn]]|[[Actor: Susan Sarandon]]}","[[Actor: Sean Penn], [Actor: Susan Sarandon]]",,
"Title","1.0","Title-{golden_globes_2042|academy_awards_2452|actors_37}","{Mary Poppins|Mary Poppins|Mary Poppins}","Mary Poppins",,
"Actors","0.6666666666666666","Actors-{academy_awards_3001|actors_27|golden_globes_2216}","{[[Actor: Bing Crosby], [Actor: Grace Kelly]]|[[Actor: Grace Kelly]]|[[Actor: Grace Kelly]]}","[[Actor: Grace Kelly], [Actor: Bing Crosby]]",,
"Director","1.0","Director-{academy_awards_453|golden_globes_414}","{Stephen Daldry|Stephen Daldry}","Stephen Daldry",,
"Title","1.0","Title-{actors_132|golden_globes_1330|academy_awards_1430}","{Amadeus|Amadeus|Amadeus}","Amadeus","true","Amadeus"
"Title","1.0","Title-{golden_globes_1895|academy_awards_2085|actors_122}","{French Connection, The|The French Connection|The French Connection}","The French Connection",,
"Actors","0.6666666666666666","Actors-{golden_globes_1533|academy_awards_1623|actors_129}","{[[Actor: Robert De Niro], [Actor: Cathy Moriarty], [Actor: Joe Pesci]]|[[Actor: Robert De Niro], [Actor: Joe Pesci], [Actor: Cathy Moriarty]]|[[Actor: Robert De Niro]]}","[[Actor: Joe Pesci], [Actor: Robert De Niro], [Actor: Cathy Moriarty]]",,
"Director","1.0","Director-{academy_awards_3625|golden_globes_2277}","{Leo McCarey|Leo McCarey}","Leo McCarey",,
"Actors","1.0","Actors-{actors_31|academy_awards_2789|golden_globes_2164}","{[[Actor: Susan Hayward]]|[[Actor: Susan Hayward]]|[[Actor: Susan Hayward]]}","[[Actor: Susan Hayward]]",,
"Title","1.0","Title-{golden_globes_1434|actors_56|academy_awards_1541}","{Sophie's Choice|Sophie�s Choice|Sophie's Choice}","Sophie's Choice",,
"Title","1.0","Title-{golden_globes_2004|academy_awards_2337|actors_117}","{Man For All Seasons, a|A Man for All Seasons|A Man for All Seasons}","A Man for All Seasons",,
"Title","1.0","Title-{actors_147|golden_globes_513|academy_awards_553}","{Gladiator|Gladiator|Gladiator}","Gladiator",,
"Director","1.0","Director-{academy_awards_448}","{Roman Polanski}","Roman Polanski",,
"Date","0.6666666666666666","Date-{actors_120|golden_globes_1953|academy_awards_2187}","{1970-01-01T00:00|1970-01-01T00:00|1969-01-01T00:00}","1970-01-01T00:00",,
